product_name,product_slug,kind,role,filename,relative_path,title,alt,attach,source_url
Dart-X,dart-x,pod,featured,dart-x-justccell-pod-featured.png,upload/dart-x-justccell-pod-featured.png,Dart-X - Justccell - Pod,Dart-X - Justccell - Pod,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-dart-x-featured-image.png
Dart-X,dart-x,pod,gallery-01,dart-x-justccell-pod-gallery-01.png,upload/dart-x-justccell-pod-gallery-01.png,Dart-X - Justccell - Pod - Gallery 01,Dart-X - Justccell - Pod - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-dart-x-product-gallery-01.png
Luster Pro,luster-pro,pod,featured,luster-pro-justccell-pod-featured.png,upload/luster-pro-justccell-pod-featured.png,Luster Pro - Justccell - Pod,Luster Pro - Justccell - Pod,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-luster-pro-featured-image.png
Luster Pro,luster-pro,pod,gallery-01,luster-pro-justccell-pod-gallery-01.png,upload/luster-pro-justccell-pod-gallery-01.png,Luster Pro - Justccell - Pod - Gallery 01,Luster Pro - Justccell - Pod - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-luster-pro-product-gallery-01.png
M6T-SE,m6t-se,cartridge,featured,m6t-se-justccell-cartridge-featured.png,upload/m6t-se-justccell-cartridge-featured.png,M6T-SE - Justccell - Cartridge,M6T-SE - Justccell - Cartridge,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-m6t-se-featured-image.png
M6T-SE,m6t-se,cartridge,gallery-01,m6t-se-justccell-cartridge-gallery-01.png,upload/m6t-se-justccell-cartridge-gallery-01.png,M6T-SE - Justccell - Cartridge - Gallery 01,M6T-SE - Justccell - Cartridge - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-m6t-se-product-gallery-01.png
M6T-SE,m6t-se,cartridge,gallery-03,m6t-se-justccell-cartridge-gallery-03.png,upload/m6t-se-justccell-cartridge-gallery-03.png,M6T-SE - Justccell - Cartridge - Gallery 03,M6T-SE - Justccell - Cartridge - Gallery 03,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/08/justccell-photo-55c61acf9c.png
M6T-SE,m6t-se,cartridge,evomax,m6t-se-justccell-cartridge-evomax.jpg,upload/m6t-se-justccell-cartridge-evomax.jpg,M6T-SE - Justccell - Cartridge - EVOMAX,M6T-SE - Justccell - Cartridge - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
TH2-SE,th2-se,cartridge,featured,th2-se-justccell-cartridge-featured.png,upload/th2-se-justccell-cartridge-featured.png,TH2-SE - Justccell - Cartridge,TH2-SE - Justccell - Cartridge,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-th2-se-featured-image.png
TH2-SE,th2-se,cartridge,gallery-01,th2-se-justccell-cartridge-gallery-01.png,upload/th2-se-justccell-cartridge-gallery-01.png,TH2-SE - Justccell - Cartridge - Gallery 01,TH2-SE - Justccell - Cartridge - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-th2-se-product-gallery-01.png
